age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.5,0.924,0,1.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
1.0,0.272,0,0.5,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0
0.06666666666666667,0.032,1,0.0,0,0,0,1,0,0,0,0.0,0.0,0.011111111111111112,0.05555555555555555,0.9333333333333333
0.7,0.136,0,0.5,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
1.0,0.8320000000000001,1,0.75,0,0,1,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
0.9333333333333333,0.16799999999999998,0,0.5,0,0,1,0,0,0,1,0.0,0.0,0.0,0.011111111111111112,0.9888888888888889
1.0,0.64,0,1.0,0,0,1,0,0,0,1,0.09523809523809523,0.0,0.0,0.2777777777777778,0.626984126984127
0.6666666666666666,0.85,0,0.75,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.011111111111111112,0.0,0.7031746031746031
0.21666666666666667,1.0,0,0.75,0,0,1,0,0,0,0,0.23809523809523808,0.0,0.03333333333333333,0.022222222222222223,0.7063492063492063
0.05,0.674,1,1.0,0,0,1,0,0,0,0,0.2857142857142857,0.14285714285714285,0.03333333333333333,0.022222222222222223,0.5158730158730157
0.36666666666666664,0.532,0,0.25,0,0,1,0,0,0,0,0.7142857142857142,0.23809523809523808,0.0,0.044444444444444446,0.0031746031746032817
0.8333333333333334,0.16599999999999998,0,0.5,0,1,0,0,0,1,0,0.0,0.0,0.0,0.03333333333333333,0.9666666666666667
0.7333333333333333,0.592,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.65,0.192,1,0.25,0,1,0,0,0,1,0,0.09523809523809523,0.09523809523809523,0.0,0.13333333333333333,0.6761904761904762
0.5166666666666667,1.0,0,1.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.7333333333333333,0.514,0,0.5,0,0,1,0,0,0,0,0.047619047619047616,0.0,0.011111111111111112,0.03333333333333333,0.9079365079365078
0.9333333333333333,0.8119999999999999,0,0.0,0,0,0,1,0,0,1,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523
0.2,0.2,0,0.75,0,0,1,0,0,1,0,0.47619047619047616,0.0,0.5,0.0,0.023809523809523843
0.13333333333333333,0.098,1,0.5,0,0,0,0,1,1,0,0.0,0.0,0.011111111111111112,0.08888888888888889,0.9
0.15,0.162,0,0.5,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.3,0.772,1,1.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.6666666666666666,0.13999999999999999,1,0.5,1,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857142
